"order_id","order_date","customer_name","city","product","category","quantity","price"
1,"2026-01-05","Aarav Sharma","Jabalpur","Laptop","Electronics",1,55000.00
2,"2026-01-08","Riya Verma","Bhopal","Headphones","Electronics",2,2500.00
3,"2026-01-12","Kabir Singh","Indore","Office Chair","Furniture",1,8500.00
4,"2026-01-18","Ananya Gupta","Jabalpur","Notebook","Stationery",10,120.00
5,"2026-02-03","Rohan Patel","Indore","Laptop","Electronics",1,62000.00
6,"2026-02-10","Meera Joshi","Bhopal","Desk Lamp","Furniture",3,1800.00
7,"2026-02-15","Arjun Mehta","Jabalpur","Pen Set","Stationery",5,300.00
8,"2026-02-21","Diya Jain","Indore","Headphones","Electronics",1,3200.00
9,"2026-03-02","Vivaan Rao","Bhopal","Office Chair","Furniture",2,9000.00
10,"2026-03-11","Ishita Shah","Jabalpur","Notebook","Stationery",20,110.00
11,"2026-03-18","Aditya Khan","Indore","Laptop","Electronics",2,58000.00
12,"2026-03-25","Sara Kapoor","Bhopal","Desk Lamp","Furniture",4,1600.00
